Country,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,,,
China," 29,850,000 "," 31,680,000 "," 33,260,000 "," 35,990,000 "," 38,490,000 "," 39,680,000 "," 40,920,000 "," 38,900,000 "," 40,390,000 "," 41,390,000 "," 39,230,000 "," 42,430,000 "," 44,070,000 "," 45,980,000 ",,,
United States," 4,370,000 "," 4,390,000 "," 4,210,000 "," 4,280,000 "," 4,080,000 "," 4,730,000 "," 5,360,000 "," 4,560,000 "," 5,210,000 "," 5,240,000 "," 4,640,000 "," 5,030,000 "," 4,670,000 "," 4,490,000 ",,,
Poland," 2,830,000 "," 2,780,000 "," 2,600,000 "," 2,890,000 "," 2,890,000 "," 3,130,000 "," 3,200,000 "," 3,170,000 "," 3,600,000 "," 3,030,000 "," 4,000,000 "," 3,620,000 "," 4,300,000 "," 4,470,000 ",,,
Turkey," 2,500,000 "," 2,630,000 "," 1,880,000 "," 2,680,000 "," 2,880,000 "," 3,090,000 "," 2,500,000 "," 2,570,000 "," 2,930,000 "," 2,440,000 "," 3,630,000 "," 3,080,000 "," 3,560,000 "," 4,070,000 ",,,
India," 2,000,000 "," 1,990,000 "," 1,780,000 "," 2,490,000 "," 2,200,000 "," 1,920,000 "," 2,480,000 "," 2,130,000 "," 2,520,000 "," 2,270,000 "," 2,330,000 "," 2,320,000 "," 2,810,000 "," 2,280,000 ",,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,