Year,Total Revenue,Gross Profit,Net Income
2008,37491000000,13197000000,6119000000
2009,42905000000,17222000000,8235000000
2010,65225000000,25684000000,14013000000
2011,1.08249E+11,43818000000,25922000000
2012,1.56508E+11,68662000000,41733000000
2013,1.7091E+11,64304000000,37037000000
2014,1.82795E+11,70537000000,39510000000
2015,2.33715E+11,93626000000,53394000000
2016,2.15639E+11,84263000000,45687000000
2017,2.29234E+11,88186000000,48351000000
2018,2.65595E+11,1.01839E+11,59531000000
2019,2.60174E+11,98392000000,55256000000
2020,2.74515E+11,1.04956E+11,57411000000
2021,3.65817E+11,1.52836E+11,94680000000
2022,3.94328E+11,1.70782E+11,99803000000